# Cosmological Table
# w0=-1.0, wa=0.0
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.4897960200990239e-08,1.4897960407493867e-08,1.4897960352643625e-08,0.9999999951020397
1.4927833927370015e-08,1.492783409501902e-08,1.4927834154384797e-08,0.999999995072166
1.4957767427414293e-08,1.4957767685858584e-08,1.495776759742608e-08,0.9999999950422325
1.4987761101914076e-08,1.4987761300131882e-08,1.498776126852536e-08,0.9999999950122388
1.501781489164731e-08,1.5017815058199094e-08,1.5017815037405355e-08,0.9999999949821851
1.5047928923352552e-08,1.5047929080661793e-08,1.5047929051542657e-08,0.999999994952071
1.5078103319926774e-08,1.5078103488363282e-08,1.5078103440267272e-08,0.9999999949218966
1.5108338217656654e-08,1.5108338402389282e-08,1.510833838266243e-08,0.9999999948916617
1.5138633811579317e-08,1.5138633944068277e-08,1.5138633959086836e-08,0.9999999948613661
1.516899010778026e-08,1.5168990234972053e-08,1.5168990173953127e-08,0.9999999948310099
1.5199407186952735e-08,1.5199407396916195e-08,1.5199407287080794e-08,0.9999999948005928
1.52298853558089e-08,1.5229885551960465e-08,1.522988549078015e-08,0.9999999947701146
1.5260424653848696e-08,1.5260424822409476e-08,1.5260424874026625e-08,0.9999999947395752
1.5291025116980397e-08,1.529102533081306e-08,1.5291025303947485e-08,0.9999999947089748
1.5321687033593528e-08,1.5321687199966783e-08,1.5321687202979587e-08,0.9999999946783129
1.5352410303532396e-08,1.535241055291248e-08,1.535241047368563e-08,0.9999999946475896
1.5383195390354802e-08,1.538319551293861e-08,1.5383195554069277e-08,0.9999999946168046
1.5414042019092832e-08,1.541404220358096e-08,1.5414042226444513e-08,0.9999999945859579
1.544495053220024e-08,1.5444950748622983e-08,1.544495068903056e-08,0.9999999945550494
1.547592109141928e-08,1.547592127209636e-08,1.5475921215024486e-08,0.9999999945240788
1.5506953706754924e-08,1.5506953898281517e-08,1.5506953851867688e-08,0.9999999944930462
1.553804861281196e-08,1.5538048751707977e-08,1.5538048785547112e-08,0.9999999944619513
1.5569205792589816e-08,1.5569205957155083e-08,1.556920598339228e-08,0.9999999944307941
1.5600425469325882e-08,1.5600425639652353e-08,1.560042568956294e-08,0.9999999943995744
1.563170771406406e-08,1.563170792448001e-08,1.5631707813567003e-08,0.9999999943682922
1.566305274208571e-08,1.566305293716953e-08,1.5663052934888504e-08,0.9999999943369472
1.5694460583167622e-08,1.5694460803504013e-08,1.5694460767328112e-08,0.9999999943055393
1.5725931418948973e-08,1.572593164951887e-08,1.5725931597632337e-08,0.9999999942740685
