# Cosmological Table
# w0=-0.8, wa=-0.8
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.3641041086105233e-08,1.3641041174683328e-08,1.3641041212579703e-08,0.9999999963589589
1.3668394460545168e-08,1.3668394462678728e-08,1.3668394524616202e-08,0.9999999963316055
1.3695802494321409e-08,1.3695802600033131e-08,1.3695802587140188e-08,0.9999999963041974
1.3723265592585401e-08,1.3723265696731507e-08,1.3723265767415688e-08,0.9999999962767343
1.3750783863683387e-08,1.375078386297946e-08,1.3750784030253946e-08,0.9999999962492161
1.3778357171119671e-08,1.3778357209203548e-08,1.3778357315531152e-08,0.9999999962216428
1.3805985828733828e-08,1.3805985846051762e-08,1.3805985985156042e-08,0.9999999961940141
1.383366991814472e-08,1.3833669884393991e-08,1.3833669996839845e-08,0.9999999961663301
1.3861409373870121e-08,1.3861409435322361e-08,1.3861409486096276e-08,0.9999999961385906
1.3889204544375565e-08,1.3889204610151849e-08,1.3889204672123947e-08,0.9999999961107954
1.3917055542509749e-08,1.3917055520420605e-08,1.391705563265425e-08,0.9999999960829444
1.3944962190956917e-08,1.394496227789045e-08,1.3944962337111425e-08,0.9999999960550378
1.3972924940357432e-08,1.3972924994547333e-08,1.3972925079723146e-08,0.999999996027075
1.4000943711688032e-08,1.4000943782601673e-08,1.4000943880886383e-08,0.9999999959990562
1.4029018675775571e-08,1.4029018754488986e-08,1.4029018823112262e-08,0.9999999959709812
1.405714999257029e-08,1.4057150022870215e-08,1.4057150155890057e-08,0.9999999959428499
1.4085337636695234e-08,1.4085337700632214e-08,1.4085337856185314e-08,0.9999999959146623
1.4113581900477792e-08,1.4113581900888197e-08,1.4113582004364098e-08,0.9999999958864181
1.414188267091601e-08,1.4141882736978227e-08,1.414188279029559e-08,0.9999999958581173
1.4170240230917994e-08,1.4170240322469552e-08,1.4170240349858635e-08,0.9999999958297597
1.4198654706874742e-08,1.419865477115723e-08,1.4198654875105814e-08,0.9999999958013452
1.4227126167432653e-08,1.422712619706448e-08,1.4227126336224189e-08,0.9999999957728738
1.4255654697755336e-08,1.4255654714443157e-08,1.4255654811361142e-08,0.9999999957443453
1.428424038322697e-08,1.4284240437774251e-08,1.4284240459548623e-08,0.9999999957157596
1.4312883420474998e-08,1.431288348176822e-08,1.4312883548247858e-08,0.9999999956871165
1.434158394398521e-08,1.434158396136563e-08,1.4341584051738447e-08,0.999999995658416
1.4370341960653477e-08,1.4370341991737498e-08,1.4370342052366367e-08,0.999999995629658
1.4399157685254901e-08,1.4399157688285787e-08,1.4399157779321247e-08,0.9999999956008423
1.4428031124446175e-08,1.4428031166643896e-08,1.4428031250803327e-08,0.9999999955719688
1.4456962478491628e-08,1.4456962542677e-08,1.445696266751345e-08,0.9999999955430374
1.4485951845517429e-08,1.4485951932482705e-08,1.4485952077131787e-08,0.9999999955140481
1.4514999425090192e-08,1.4514999452391384e-08,1.451499957611942e-08,0.9999999954850005
1.4544105161265362e-08,1.4544105218966682e-08,1.4544105289824378e-08,0.9999999954558948
1.4573269238822892e-08,1.4573269349006003e-08,1.4573269428494788e-08,0.9999999954267307
1.4602491870597846e-08,1.4602491959540874e-08,1.4602492076193456e-08,0.9999999953975081
1.4631773125661919e-08,1.463177316783758e-08,1.4631773317169203e-08,0.9999999953682268
1.4661112982243515e-08,1.4661113091397524e-08,1.466111314150938e-08,0.999999995338887
